ra,dec,type,const,mag,name,id,id1,cat1,id2,cat2
11.6316,21.9808,Gxy,Leo,13.7,Copeland's Septet,5962,3753,NGC,,
22.601,33.9758,Gxy,Peg,13.8,Stephan's Quintet,12531,7319,NGC,,
22.5977,33.9447,Gxy,Peg,13.9,Stephan's Quintet,12529,7317,NGC,,
11.631,21.9739,Gxy,Leo,14.0,Copeland's Septet,5960,3750,NGC,,
11.5665,49.0621,Gxy,UMa,14.08,Papillon,5896,708,IC,,
11.6319,21.9853,Gxy,Leo,14.3,Copeland's Septet,5963,3754,NGC,,
11.6317,21.9361,Gxy,Leo,14.3,Copeland's Septet,5961,3751,NGC,,
11.7875,89.0928,Gxy,UMi,14.4,Polarissima Borealis,6143,3172,NGC,,
11.6287,22.0094,Gxy,Leo,14.4,Copeland's Septet,5956,3746,NGC,,
11.6303,22.0258,Gxy,Leo,14.6,Copeland's Septet,5958,3748,NGC,,
11.6291,22.0208,Gxy,Leo,15.2,Copeland's Septet,5955,3745,NGC,,
0.945,61.0667,Neb,Cas,,gamma Cas nebula,505,59,IC,,
0.991667,60.8167,Neb,Cas,,gamma Cas nebula,541,63,IC,,
3.76375,24.3683,Neb,Tau,,Maia nebula,2322,1432,NGC,,
3.76947,23.765,Neb,Tau,,Merope nebula,2328,1435,NGC,,
4.054,36.3675,Neb,Per,,California nebula,2411,1499,NGC,,
4.36208,19.5208,Neb,Tau,,Struve's Lost nebula,2518,1554,NGC,,
4.36575,19.5344,Neb,Tau,,Hind's variable nebula,2525,1555,NGC,,
5.115,-7.21667,Neb,Eri,,Witch Head nebula,2878,2118,IC,,
5.27,34.2667,Neb,Aur,,Flaming Star nebula,2940,405,IC,31.0,C
5.68333,-2.4,Neb,Ori,,Horsehead nebula,3179,434,IC,,
6.51517,5.04917,Neb,Mon,,Rosette nebula,3381,2237,NGC,49.0,C
6.51119,5.01306,Neb,Mon,,Rosette nebula,3383,2238,NGC,,
6.53211,4.94306,OC,Mon,,Rosette nebula,3384,2239,NGC,,
6.54269,5.12833,Neb,Mon,,Rosette nebula,3390,2246,NGC,,
7.94667,-59.1167,Neb,Car,,Toby Jug nebula,3695,2220,IC,,
11.6467,-63.5333,Neb,Cen,,lambda Cen nebula,5972,2948,IC,,
16.4267,-23.4333,Neb,Oph,,rho Oph nebula,10498,4604,IC,,
18.315,-13.7833,Neb,Ser,,Star Queen nebula,11133,4703,IC,,
20.2018,38.355,Neb,Cyg,,Crescent nebula,11682,6888,NGC,27.0,C
20.37,40.25,,Cyg,,gamma Cyg nebula,11744,1318,IC,,
20.7661,30.5953,SNR,Cyg,,Veil nebula,11860,6960,NGC,34.0,C
20.7967,44.3667,,Cyg,,Pelican nebula,11877,5067,IC,,
20.8467,44.35,Neb,Cyg,,Pelican nebula,11891,5070,IC,,
20.9386,31.7428,SNR,Cyg,,Veil nebula,11923,6992,NGC,33.0,C
20.953,31.2353,SNR,Cyg,,Veil nebula,11930,6995,NGC,,
21.03,44.2,Neb,Cyg,,North America nebula,11936,7000,NGC,20.0,C
21.5561,0.3825,NF,Aqr,,Baxendell's unphotographable nebul,12122,7088,NGC,,
23.346,61.2125,Neb,Cas,,Bubble nebula,12948,7635,NGC,11.0,C
